pid,smiles,tens_mod_clean
P432906,*C(=O)Nc9ccc(Oc8ccc(c7ccc(Oc6ccc(NC(=O)c5ccc4c(=O)n(c3cccc(n2c(=O)c1ccc(*)cc1c2=O)c3)c(=O)c4c5)cc6)cc7)cc8)cc9,2.33
P430454,*C(=O)Nc%11ccc(Oc9ccc(Oc%10ccc(Oc%12ccc(NC(=O)c8ccc7c(=O)n(c6ccc(Oc5ccc4ccc(Oc3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)cc4c5)cc6)c(=O)c7c8)cc%12)cc%10)cc9)cc%11,2.31
P373713,*Oc4ccc(C23CC1CC(CC(C1)C2)C3)c(Oc5ccc(NC(=O)c6cc(C(=O)Nc%10ccc(*)cc%10)cc(NC(=O)C89CC7CC(CC(C7)C8)C9)c6)cc5)c4,2.3
P432597,*C(=O)Nc%15ccc(Oc%14ccc(c%13ccc(Oc%12ccc(NC(=O)c%11ccc%10c(=O)n(c9ccc(Oc8ccc(C5(c4ccc(Oc3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)cc4)CC6CC5C7CCCC67)cc8)cc9)c(=O)c%10c%11)cc%12)cc%13C)c(C)c%14)cc%15,2.3
P402234,*NC(=O)c1cc(C(=O)Nc2ccc(Cc3ccc(*)cc3)cc2)cc(NC(=O)CCCCCn5c(=O)c4ccccc4c5=O)c1,2.3
P432808,*n4c(=O)c3ccc(C(C(F)(F)F)(C(F)(F)F)c2ccc1c(=O)n(c9cc(C(=O)Nc5ccc(Oc6ccc(C(C)(C)c%11ccc(Oc8ccc(NC(=O)c%10cc(*)ccc%10)cc8)cc%11)cc6)cc5)ccc9)c(=O)c1c2)cc3c4=O,2.3
P430458,*C(=O)Nc%11ccc(Oc9ccc(C(C)(C)c%10ccc(Oc%12ccc(NC(=O)c8ccc7c(=O)n(c6ccc(Oc5ccc4ccc(Oc3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)cc4c5)cc6)c(=O)c7c8)cc%12)cc%10)cc9)cc%11,2.3
P432596,*C(=O)Nc%14ccc(Oc%13cc(C(C)(C)C)c(Oc%12ccc(NC(=O)c%11ccc%10c(=O)n(c9ccc(Oc8ccc(C5(c4ccc(Oc3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)cc4)CC6CC5C7CCCC67)cc8)cc9)c(=O)c%10c%11)cc%12)cc%13C(C)(C)C)cc%14,2.3
P402393,c1ccc3c(c1)C(c4ccc(*)cc4)(c5ccc(NC(=O)c6cc(C(=O)N*)cc(NC(=O)C89CC7CC(CC(C7)C8)C9)c6)cc5)c2ccccc23,2.3
P432598,*C(=O)Nc%15ccc(Oc%14ccc(C(C(F)(F)F)(C(F)(F)F)c%13ccc(Oc%12ccc(NC(=O)c%11ccc%10c(=O)n(c9ccc(Oc8ccc(C5(c4ccc(Oc3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)cc4)CC6CC5C7CCCC67)cc8)cc9)c(=O)c%10c%11)cc%12)cc%13)cc%14)cc%15,2.3
P432805,*n4c(=O)c3ccc(C(C(F)(F)F)(C(F)(F)F)c2ccc1c(=O)n(c9cc(C(=O)Nc5ccc(Oc6cccc(Oc8ccc(NC(=O)c%10cc(*)ccc%10)cc8)c6)cc5)ccc9)c(=O)c1c2)cc3c4=O,2.3
P372385,*Oc8ccc(C6(c5ccc(Oc4ccc(NC(=O)c3ccc(c2ccc(C(=O)Nc1ccc(*)cc1)cc2)cc3)cc4)cc5)CC7CCC6C7)cc8,2.3
P372387,*Oc8ccc(C6(c5ccc(Oc4ccc(NC(=O)c3ccc(C(=O)Nc1ccc(*)cc1)cc3)cc4)cc5)CC7CCC6C7)cc8,2.3
P372388,*Oc8ccc(C6(c5ccc(Oc4ccc(NC(=O)c3cc(C(=O)Nc1ccc(*)cc1)ccc3)cc4)cc5)CC7CCC6C7)cc8,2.3
