pid,smiles,dens_clean
P130310,*c7ccc(NC(=O)c6cccc(C(=O)Nc5ccc(n4c(=O)c3ccc(Oc2ccc1c(=O)n(*)c(=O)c1c2)cc3c4=O)cc5)c6)cc7,1.4
P130316,*c6ccc(NC(=O)c5ccc(C(=O)Nc4ccc(n3c(=O)c2cc1c(=O)n(*)c(=O)c1cc2c3=O)cc4)cc5)cc6,1.525
P130332,*c4ccc(C(=O)Nc1ccccc1NC(=O)c3ccc2c(=O)n(*)c(=O)c2c3)cc4,1.1549999999999998
P130333,*c5ccc(C(=O)Nc4ccc(S(=O)(=O)c3ccc(NC(=O)c2ccc1c(=O)n(*)c(=O)c1c2)cc3)cc4)cc5,1.2446666666666666
P130334,*c4cccc(/C=C/C(=O)Nc3cccc(NC(=O)c2ccc1c(=O)n(*)c(=O)c1c2)c3)c4,1.25
P130335,*c5ccc(C(=O)Nc4cccc(/C=C/C(=O)/C=C/c3cccc(NC(=O)c2ccc1c(=O)n(*)c(=O)c1c2)c3)c4)cc5,1.24
P370373,*c6ccc(Oc5ccc(C(=O)c4ccc(Oc3ccc(C2(*)NC(=O)c1ccccc12)cc3)cc4)cc5)cc6,1.25
P370527,*C(=O)Oc%10ccc(C(C)(C)c9ccc(OC(=O)c8ccc7c(=O)n6c5ccc(Oc4ccc3nc2c1ccc(*)cc1c(=O)n2c3c4)cc5nc6c7c8)cc9)cc%10,1.315
P370550,*Oc6ccc(C(c5ccc(Oc4ccc(NC(=O)c3ccc2cc(C(=O)Nc1ccc(*)cc1)ccc2c3)cc4)cc5)(C(F)(F)F)C(F)(F)F)cc6,1.63
P370593,*Oc1ccc(NC(=O)c2ccc(C(C(F)(F)F)(C(F)(F)F)c3cc(C(=O)Nc4ccc(*)cc4N)c(C(=O)O)cc3)cc2C(=O)O)c(N)c1,1.413
P370594,*c1ccc7c(c1)c(=O)n8c6cc(Oc2ccc4c(c2)nc5c3cc(C(*)(C(F)(F)F)C(F)(F)F)ccc3c(=O)n45)ccc6nc78,1.405
P372240,*Oc1ccc(C(C)(C)c2ccc(Oc3ccc(NC(=O)c4cc(C(=O)Nc5ccc(*)cc5)cc(C(C)(C)C)c4)cc3)cc2)cc1,1.44
P373274,*Oc1cc(C(C)(C)C)c(Oc2ccc(C(=O)Nc3ccc(C(C)(C)c4ccc(NC(=O)c5ccc(*)cc5)cc4)cc3)cc2)cc1C(C)(C)C,1.112
